                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.369,                 3.2864,                 2.0657,                0.30314,                0.17842,                0.13726,                0.05303,                 2.1523,                 2.3445,                  1.634,              0.0033222,              0.0033222,              0.0033222
                      2,                 2.2052,                  2.374,                 1.8052,                0.35544,                0.25477,                0.22439,                0.09344,                 2.1969,                 2.0814,                 1.6157,              0.0066523,              0.0066523,              0.0066523
                      3,                  2.264,                 2.4251,                 1.8349,                0.15452,                  0.228,                0.09534,                0.03337,                 2.4402,                 2.7226,                 1.8423,               0.009979,               0.009979,               0.009979
                      4,                 2.3684,                 2.6601,                 1.9265,                0.17587,                 0.1905,                0.13145,                0.05077,                 2.3511,                 2.4448,                 1.7825,              0.0099851,              0.0099851,              0.0099851
                      5,                 2.3082,                 2.5175,                 1.8867,                0.23694,                0.23334,                0.18467,                0.06662,                 2.2681,                 2.3588,                 1.7277,              0.0099802,              0.0099802,              0.0099802
                      6,                 2.2548,                 2.3817,                 1.8469,                0.22673,                0.26113,                 0.1935,                0.07605,                 2.2194,                 2.3067,                 1.6934,              0.0099753,              0.0099753,              0.0099753
                      7,                 2.1962,                  2.265,                 1.8026,                 0.3268,                0.28963,                0.25137,                 0.1032,                 2.1026,                 2.0148,                 1.6086,              0.0099703,              0.0099703,              0.0099703
                      8,                  2.169,                  2.165,                 1.7696,                0.30594,                 0.3077,                0.27105,                0.10859,                 2.0768,                 1.9001,                 1.5931,              0.0099654,              0.0099654,              0.0099654
                      9,                 2.1091,                 2.0579,                 1.7411,                0.35016,                0.36323,                0.31115,                0.13035,                 2.0637,                 1.8593,                 1.5685,              0.0099604,              0.0099604,              0.0099604
                     10,                  2.075,                 1.9706,                 1.7046,                0.41336,                0.36466,                0.35359,                0.15048,                 1.9667,                 1.6954,                 1.4915,              0.0099555,              0.0099555,              0.0099555
                     11,                 2.0558,                 1.9246,                 1.6778,                0.34175,                0.40438,                0.34609,                0.16129,                 1.9517,                 1.5724,                 1.4817,              0.0099505,              0.0099505,              0.0099505
                     12,                 2.0139,                 1.8407,                 1.6547,                0.45872,                0.39611,                0.38479,                0.17546,                 1.9212,                  1.561,                 1.4611,              0.0099456,              0.0099456,              0.0099456
                     13,                   1.97,                 1.7673,                 1.6164,                0.71037,                0.32538,                0.41385,                0.19367,                 1.9633,                 1.5503,                 1.4763,              0.0099406,              0.0099406,              0.0099406
                     14,                 1.9497,                 1.7175,                 1.6099,                0.41691,                0.43475,                 0.3936,                0.19181,                  1.919,                 1.4439,                 1.4381,              0.0099357,              0.0099357,              0.0099357
                     15,                 1.9363,                 1.6916,                 1.5923,                0.55919,                0.43625,                0.46143,                0.21634,                 1.8339,                 1.4039,                 1.3954,              0.0099307,              0.0099307,              0.0099307
                     16,                 1.9125,                 1.6356,                 1.5777,                0.63188,                0.38284,                0.43242,                0.21861,                 1.8609,                 1.3864,                 1.3959,              0.0099258,              0.0099258,              0.0099258
                     17,                 1.8957,                 1.5928,                 1.5479,                0.67464,                0.36503,                0.46505,                0.23538,                 1.8015,                 1.3736,                  1.369,              0.0099208,              0.0099208,              0.0099208
                     18,                 1.8743,                 1.5615,                  1.544,                0.43401,                0.45529,                0.42685,                0.21331,                 1.8152,                 1.3555,                 1.3873,              0.0099159,              0.0099159,              0.0099159
                     19,                 1.8455,                  1.514,                   1.52,                0.46026,                0.47475,                0.42833,                0.21797,                 1.7903,                 1.2964,                 1.3577,              0.0099109,              0.0099109,              0.0099109
                     20,                 1.8257,                 1.4884,                 1.5082,                 0.5492,                0.50288,                0.51536,                0.26225,                 1.7405,                 1.2897,                 1.3295,               0.009906,               0.009906,               0.009906
                     21,                  1.813,                 1.4571,                 1.4969,                0.47211,                 0.4856,                0.44142,                 0.2297,                 1.7581,                 1.2754,                 1.3315,               0.009901,               0.009901,               0.009901
                     22,                 1.7972,                 1.4378,                 1.4855,                 0.6631,                0.45324,                0.50717,                0.26877,                 1.7551,                 1.2928,                  1.328,              0.0098961,              0.0098961,              0.0098961
                     23,                 1.7759,                 1.3984,                 1.4619,                 0.4947,                0.51567,                0.48982,                0.25331,                 1.7491,                 1.2438,                 1.3304,              0.0098911,              0.0098911,              0.0098911
                     24,                 1.7437,                 1.3586,                 1.4569,                0.55437,                0.48712,                0.49152,                0.26611,                  1.708,                 1.2172,                 1.3061,              0.0098861,              0.0098861,              0.0098861
                     25,                 1.7486,                 1.3466,                 1.4403,                0.61551,                0.51282,                0.52497,                0.28305,                 1.7117,                 1.2073,                  1.314,              0.0098812,              0.0098812,              0.0098812
                     26,                 1.7248,                 1.3207,                 1.4336,                0.60821,                0.51592,                0.54563,                0.29007,                 1.6861,                 1.1737,                 1.2966,              0.0098763,              0.0098763,              0.0098763
                     27,                  1.707,                 1.2944,                 1.4209,                0.56761,                0.52024,                0.53743,                0.29422,                 1.6928,                 1.1518,                 1.2996,              0.0098713,              0.0098713,              0.0098713
                     28,                 1.7045,                  1.277,                   1.41,                0.60917,                0.51473,                 0.5335,                 0.2867,                 1.6441,                 1.1485,                 1.2626,              0.0098664,              0.0098664,              0.0098664
                     29,                 1.6749,                 1.2583,                 1.3987,                0.62889,                0.50854,                0.52296,                0.28468,                 1.6805,                 1.1663,                 1.2844,              0.0098614,              0.0098614,              0.0098614
